Admit,Deposit,Enroll,F,Ethnicity,Region Description,Age,ACT Category Description,College,Major,Convert_GPA_Fix,FIN_AID_INTEREST
FALSE,FALSE,FALSE,F,White,Chicago Central,62,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,,Y
FALSE,FALSE,FALSE,F,Multiracial,Chicago Far South,23,Unknown,Commerce,Business Administration,,N
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,25,16-19,Commerce,Management,,N
FALSE,FALSE,FALSE,F,White,Out of State,19,Unknown,Commerce,Business Administration,4.1,N
FALSE,TRUE,FALSE,F,Hispanic,Suburban West,23,20-23,Science and Health,Psychology,,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban West,23,20-23,Liberal Arts & Social Sciences,English,,Y
FALSE,FALSE,FALSE,F,Hispanic,Out of State,23,Unknown,Science and Health,Psychology,2.538,N
FALSE,FALSE,FALSE,F,White,Suburban North,22,0-15,Education,Pre-Physical Education,2.73,N
FALSE,FALSE,FALSE,F,Black,International,42,Unknown,Science and Health,Health Sciences,,Y
FALSE,FALSE,FALSE,F,Black,Chicago Central,18,20-23,Music,Sound Recording Techn,2.25,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,20,20-23,Computer Science,Computer Game Development,2.163,Y
FALSE,FALSE,FALSE,F,Hispanic,Out of State,20,20-23,Commerce,Economics,2.551,Y
FALSE,TRUE,FALSE,F,Asian/Pacific Islander,Suburban Northwest,20,16-19,Commerce,Business Administration,3.477,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,20,0-15,Computer Science,Comp Graphics & Motion Tech,,Y
FALSE,FALSE,FALSE,F,White,Chicago Far North,20,24-27,Commerce,Accountancy,,Y
FALSE,FALSE,FALSE,F,Black,Chicago South,18,24-27,Liberal Arts & Social Sciences,Sociology,3.206,Y
FALSE,FALSE,FALSE,F,Not Applicable,Chicago North,18,Unknown,Liberal Arts & Social Sciences,BA-Chinese Studies,3.142,Y
TRUE,TRUE,TRUE,F,White,Suburban North,18,24-27,Liberal Arts & Social Sciences,BA-Chinese Studies,5.81,Y
TRUE,FALSE,FALSE,F,International,Chicago Central,18,24-27,Science and Health,Psychology,4.51,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.102,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,19,20-23,Computer Science,Digital Cinema,2.64,Y
FALSE,FALSE,FALSE,F,Black,Northwest Indiana,20,20-23,Commerce,Marketing,2.717,Y
FALSE,FALSE,FALSE,F,Not Applicable,Suburban Northwest,20,33-36,Commerce,Management,3.144,Y
FALSE,FALSE,FALSE,F,White,Suburban North,20,16-19,Music,Music Performance,,Y
TRUE,TRUE,TRUE,F,White,Suburban West,18,28-32,Liberal Arts & Social Sciences,Political Science,4.056,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,28-32,Theatre,Theatre Arts,4.22,Y
TRUE,FALSE,FALSE,F,International,Chicago Far North,20,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,5.166,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Commerce,Business Administration,4.205,N
TRUE,FALSE,FALSE,F,White,Out of State,18,33-36,Liberal Arts & Social Sciences,International Studies,4.256,Y
FALSE,FALSE,FALSE,F,International,Chicago Far South,20,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.833,N
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago Far North,18,24-27,Commerce,Economics,4.72,Y
TRUE,FALSE,FALSE,F,Not Applicable,Suburban North,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,0,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,19,0-15,Liberal Arts & Social Sciences,UGRD Undeclared TBD,,N
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Theatre,Acting,3.2,N
FALSE,FALSE,FALSE,F,White,Out of State,20,Unknown,Commerce,Business Administration,2.5,Y
FALSE,FALSE,FALSE,F,Multiracial,Out of State,18,16-19,Liberal Arts & Social Sciences,Art & Art History,2.458,N
TRUE,FALSE,FALSE,F,Not Applicable,Chicago South,19,20-23,Science and Health,Psychology,3.071,Y
TRUE,TRUE,TRUE,F,White,Suburban Southwest,19,28-32,Commerce,Business Administration,3.685,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Commerce,UGRD Undeclared Business,3.595,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban Northwest,19,16-19,Commerce,E-Business,2.952,Y
TRUE,TRUE,TRUE,F,Not Applicable,Suburban West,19,20-23,Music,Music Performance,3.265,Y
TRUE,TRUE,TRUE,F,White,Other Illinois,19,28-32,Music,Music Education,3.98,Y
TRUE,TRUE,FALSE,F,White,Suburban South,19,24-27,Communication,Communication and Media,3.256,Y
FALSE,FALSE,FALSE,F,White,Suburban North,19,24-27,Music,Music,3.513,N
TRUE,FALSE,FALSE,F,White,Chicago Far North,18,24-27,Communication,Journalism,3.89,N
FALSE,FALSE,FALSE,F,Hispanic,Suburban West,19,20-23,Commerce,UGRD Undeclared Business,2.116,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,24-27,Science and Health,Biological Sciences,4.526,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,28-32,Science and Health,Health Sciences,4.697,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Commerce,Economics,,N
TRUE,FALSE,FALSE,F,Black,Chicago North,18,20-23,Science and Health,Allied Health Technologies,3.428,Y
TRUE,FALSE,FALSE,F,Black,Out of State,19,16-19,Communication,Journalism,3.462,Y
TRUE,FALSE,FALSE,F,White,Suburban West,19,28-32,Liberal Arts & Social Sciences,Political Science,3.917,N
TRUE,TRUE,TRUE,F,Hispanic,Chicago Far South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.491,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far North,,Unknown,Liberal Arts & Social Sciences,International Studies,,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Theatre,Acting,3.542,N
TRUE,TRUE,TRUE,F,Hispanic,Suburban West,18,24-27,Commerce,Accountancy,4.142,Y
FALSE,FALSE,FALSE,F,White,Out of State,19,Unknown,Theatre,Acting,3.304,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,28-32,Commerce,Hospitality Leadership,3.8,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far South,19,20-23,Science and Health,Biological Sciences,4.255,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Far North,18,16-19,Commerce,Business Administration,4.82,Y
TRUE,TRUE,TRUE,F,White,Suburban West,18,33-36,Liberal Arts & Social Sciences,Public Policy,4.647,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Northwest,18,24-27,Science and Health,Mathematics,4.139,N
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Computer Science,Information Technology,3.547,Y
TRUE,FALSE,FALSE,F,International,Chicago South,18,20-23,Science and Health,Biological Sciences,4.222,N
TRUE,FALSE,FALSE,F,White,Suburban Southwest,18,24-27,Computer Science,Digital Cinema,3.9,N
